k_ma,A,B,trace,determinant,stable,string_of_classification
0.3700000047683716,0.0249000005424022,0.9855999946594238,-3.108176946640014,2.4133687019348145,True,stable spiral node sink
0.3799999952316284,0.0249000005424022,0.9855999946594238,-3.113496780395508,2.4213786125183105,True,stable spiral node sink
0.3899999856948852,0.0248000007122755,0.9855999946594238,-3.121956348419189,2.434108257293701,True,stable spiral node sink
0.4000000059604645,0.0247000008821487,0.9855999946594238,-3.130345106124878,2.446730136871338,True,stable spiral node sink
0.4099999964237213,0.0245999991893768,0.9855999946594238,-3.1386642456054688,2.459246873855591,True,stable spiral node sink
0.42,0.02449999935925,0.9855999946594238,-3.146915912628174,2.471660852432251,True,stable spiral node sink
0.4300000071525574,0.02449999935925,0.9855999946594238,-3.151854991912842,2.4790961742401123,True,stable spiral node sink
0.4399999976158142,0.0243999995291233,0.9855999946594238,-3.1599698066711426,2.491302967071533,True,stable spiral node sink
0.449999988079071,0.0242999996989965,0.9855999946594238,-3.1680216789245605,2.5034141540527344,True,stable spiral node sink
0.4600000083446502,0.0242999996989965,0.9855999946594238,-3.172750949859619,2.510533332824707,True,stable spiral node sink
0.4699999988079071,0.0241999998688697,0.9855999946594238,-3.1806752681732178,2.522451639175415,True,stable spiral node sink
0.4799999892711639,0.024100000038743,0.9855999946594238,-3.188540458679199,2.534280300140381,True,stable spiral node sink
0.49,0.024100000038743,0.9855999946594238,-3.1930742263793945,2.541104555130005,True,stable spiral node sink
0.5,0.0240000002086162,0.9855999946594238,-3.2008204460144043,2.55275297164917,True,stable spiral node sink
0.5099999904632568,0.0239000003784894,0.9855999946594238,-3.208512783050537,2.564319133758545,True,stable spiral node sink
0.5199999809265137,0.0239000003784894,0.9855999946594238,-3.212862014770508,2.5708653926849365,True,stable spiral node sink
0.5299999713897705,0.0238000005483627,0.9855999946594238,-3.220442771911621,2.582262754440308,True,stable spiral node sink
0.5400000214576721,0.0238000005483627,0.9855999946594238,-3.2246756553649902,2.5886335372924805,True,stable spiral node sink
0.550000011920929,0.0237000007182359,0.9855999946594238,-3.232149600982666,2.5998690128326416,True,stable spiral node sink
0.5600000023841858,0.0237000007182359,0.9855999946594238,-3.2362711429595947,2.606072187423706,True,stable spiral node sink
0.5699999928474426,0.0236000008881092,0.9855999946594238,-3.2436423301696777,2.6171517372131348,True,stable spiral node sink
0.5799999833106995,0.0234999991953372,0.9855999946594238,-3.250967502593994,2.628161907196045,True,stable spiral node sink
0.5899999737739563,0.0234999991953372,0.9855999946594238,-3.2549290657043457,2.6341240406036377,True,stable spiral node sink
0.6000000238418579,0.0233999993652105,0.9855999946594238,-3.26215934753418,2.6449902057647705,True,stable spiral node sink
0.6100000143051147,0.0233999993652105,0.9855999946594238,-3.266019821166992,2.6507997512817383,True,stable spiral node sink
0.6200000047683716,0.0232999995350837,0.9855999946594238,-3.2731575965881348,2.661525249481201,True,stable spiral node sink
0.6299999952316284,0.0232999995350837,0.9855999946594238,-3.276920795440674,2.667188167572021,True,stable spiral node sink
0.6399999856948853,0.023199999704957,0.9855999946594238,-3.283970355987549,2.6777806282043457,True,stable spiral node sink
0.6499999761581421,0.023199999704957,0.9855999946594238,-3.287639617919922,2.683302402496338,True,stable spiral node sink
