k_ma,A,B,trace,determinant,string_of_classification,stable
0.01,0.9955000281333923,0.989300012588501,-48.5100212097168,95.0678939819336,stable spiral node sink,True
0.019999999552965164,0.9909999966621399,0.9891999959945679,-25.12120246887207,47.141944885253906,stable spiral node sink,True
0.029999999329447746,0.9864000082015991,0.9891999959945679,-17.249385833740234,31.03120994567871,stable spiral node sink,True
0.03999999910593033,0.9818999767303467,0.9891999959945679,-13.380319595336914,23.115623474121094,stable spiral node sink,True
0.05000000074505806,0.9772999882698059,0.9891999959945679,-11.026268005371094,18.30168914794922,stable spiral node sink,True
0.05999999865889549,0.9726999998092651,0.9891999959945679,-9.461122512817383,15.102949142456055,stable spiral node sink,True
0.07000000029802322,0.9681000113487244,0.9891999959945679,-8.344806671142578,12.82313346862793,stable spiral node sink,True
0.07999999821186066,0.9634000062942505,0.9891999959945679,-7.4973554611206055,11.093815803527832,stable spiral node sink,True
0.09000000357627869,0.9588000178337097,0.9891999959945679,-6.848917007446289,9.771944999694824,stable spiral node sink,True
0.10000000149011612,0.9541000127792358,0.9890999794006348,-6.3217597007751465,8.696072578430176,stable spiral node sink,True
0.10999999940395355,0.9492999911308289,0.9890999794006348,-5.886136531829834,7.810501575469971,stable spiral node sink,True
0.11999999731779099,0.944599986076355,0.9890999794006348,-5.529233932495117,7.085981369018555,stable spiral node sink,True
0.12999999523162842,0.9398000240325928,0.9890999794006348,-5.223034858703613,6.465298175811768,stable spiral node sink,True
0.14000000059604645,0.9350000023841858,0.9890999794006348,-4.961026191711426,5.93506383895874,stable spiral node sink,True
0.15000000596046448,0.9301999807357788,0.9890999794006348,-4.734201431274414,5.476842880249023,stable spiral node sink,True
0.1599999964237213,0.9253000020980835,0.9890999794006348,-4.532952308654785,5.07105827331543,stable spiral node sink,True
0.17000000178813934,0.9204000234603882,0.9890000224113464,-4.354629039764404,4.711899280548096,stable spiral node sink,True
0.18000000715255737,0.9154999852180481,0.9890000224113464,-4.197226524353027,4.396035194396973,stable spiral node sink,True
0.1899999976158142,0.08179999887943268,0.9858999848365784,-1.6084867715835571,0.10971399396657944,stable spiral node sink,True
0.1899999976158142,0.10220000147819519,0.9860000014305115,-1.4843999147415161,-0.09931708127260208,unstable saddle node,False
0.1899999976158142,0.1023000031709671,0.9860000014305115,-1.4838883876800537,-0.10019265115261078,unstable saddle node,False
0.1899999976158142,0.08169999718666077,0.9858999848365784,-1.6092157363891602,0.11091028898954391,stable spiral node sink,True
0.1899999976158142,0.9104999899864197,0.9890000224113464,-4.054376602172852,4.110043525695801,stable node sink,True
0.20000000298023224,0.07599999755620956,0.9858999848365784,-1.6606353521347046,0.194101944565773,stable spiral node sink,True
0.20000000298023224,0.11150000244379044,0.9860000014305115,-1.4483495950698853,-0.1630832552909851,unstable saddle node,False
0.20000000298023224,0.9054999947547913,0.9890000224113464,-3.9260013103485107,3.8536741733551025,stable node sink,True
0.20999999344348907,0.0723000019788742,0.98580002784729,-1.6980135440826416,0.255270391702652,stable spiral node sink,True
0.20999999344348907,0.11869999766349792,0.9861000180244446,-1.427600622177124,-0.20307712256908417,unstable saddle node,False
0.20999999344348907,0.9004999995231628,0.9890000224113464,-3.8099660873413086,3.622558355331421,stable spiral node sink,True
0.2199999988079071,0.06960000097751617,0.98580002784729,-1.7291762828826904,0.3048514127731323,stable spiral node sink,True
0.2199999988079071,0.125,0.9861000180244446,-1.412345051765442,-0.23239783942699432,unstable saddle node,False
0.2199999988079071,0.8953999876976013,0.9890000224113464,-3.7029218673706055,3.4099464416503906,stable spiral node sink,True
0.23000000417232513,0.0674000009894371,0.98580002784729,-1.756646990776062,0.34836241602897644,stable spiral node sink,True
0.23000000417232513,0.13079999387264252,0.9861000180244446,-1.4009281396865845,-0.2553873360157013,unstable saddle node,False
0.23000000417232513,0.8902000188827515,0.9890000224113464,-3.6038196086883545,3.213697910308838,stable spiral node sink,True
0.23999999463558197,0.06560000032186508,0.98580002784729,-1.78089439868927,0.3866211473941803,stable spiral node sink,True
0.23999999463558197,0.1363999992609024,0.9861000180244446,-1.3918143510818481,-0.27467402815818787,unstable saddle node,False
0.23999999463558197,0.8851000070571899,0.9889000058174133,-3.5134711265563965,3.035813093185425,stable spiral node sink,True
0.25,0.06400000303983688,0.98580002784729,-1.8035722970962524,0.42230746150016785,stable spiral node sink,True
0.25,0.14169999957084656,0.9861999750137329,-1.3858827352523804,-0.2903374135494232,unstable saddle node,False
0.25,0.8798999786376953,0.9889000058174133,-3.4300551414489746,2.8717613220214844,stable spiral node sink,True
0.25999999046325684,0.0625,0.98580002784729,-1.8255592584609985,0.456836998462677,stable spiral node sink,True
0.25999999046325684,0.1468999981880188,0.9861999750137329,-1.3804422616958618,-0.303620845079422,unstable saddle node,False
0.25999999046325684,0.8745999932289124,0.9889000058174133,-3.351931571960449,2.71865177154541,stable spiral node sink,True
0.27000001072883606,0.06129999831318855,0.98580002784729,-1.8446776866912842,0.48676836490631104,stable spiral node sink,True
0.27000001072883606,0.15199999511241913,0.9861999750137329,-1.3762712478637695,-0.3148556649684906,unstable saddle node,False
0.27000001072883606,0.8693000078201294,0.9889000058174133,-3.279694080352783,2.577589988708496,stable spiral node sink,True
0.2800000011920929,0.060100000351667404,0.98580002784729,-1.8639565706253052,0.5169196724891663,stable spiral node sink,True
0.2800000011920929,0.15710000693798065,0.9861999750137329,-1.3730311393737793,-0.32465660572052,unstable saddle node,False
0.2800000011920929,0.8639000058174133,0.9889000058174133,-3.2116341590881348,2.44519305229187,stable spiral node sink,True
