k_mb,A,B,trace,determinant,string_of_classification,stable
0.009999999776482582,0.2328999936580658,0.9997000098228455,-77.65654754638672,-17.77381134033203,unstable saddle node,False
0.009999999776482582,0.048700001090765,0.9997000098228455,-78.35643768310547,44.45822525024414,stable spiral node sink,True
0.009999999776482582,0.7854999899864197,0.9997000098228455,-78.83799743652344,51.10120391845703,stable spiral node sink,True
0.019999999552965164,0.04879999905824661,0.9994000196456909,-39.463077545166016,22.161088943481445,stable spiral node sink,True
0.019999999552965164,0.23270000517368317,0.9994000196456909,-38.76476287841797,-8.89578914642334,unstable saddle node,False
0.019999999552965164,0.7856000065803528,0.9994000196456909,-39.94646072387695,25.69975471496582,stable spiral node sink,True
0.029999999329447746,0.04879999905824661,0.9991999864578247,-26.672571182250977,14.86728572845459,stable spiral node sink,True
0.029999999329447746,0.23250000178813934,0.9991999864578247,-25.97439956665039,-5.97534704208374,unstable saddle node,False
0.029999999329447746,0.7857000231742859,0.9991999864578247,-27.156429290771484,17.346403121948242,stable spiral node sink,True
0.03999999910593033,0.048900000751018524,0.9988999962806702,-20.1137752532959,11.098308563232422,stable spiral node sink,True
0.03999999910593033,0.23229999840259552,0.9988999962806702,-19.417163848876953,-4.478605270385742,unstable saddle node,False
0.03999999910593033,0.7857999801635742,0.9988999962806702,-20.599443435668945,13.063652038574219,stable spiral node sink,True
0.05000000074505806,0.048900000751018524,0.9986000061035156,-16.189342498779297,8.864810943603516,stable spiral node sink,True
0.05000000074505806,0.23199999332427979,0.9986000061035156,-15.492951393127441,-3.5817108154296875,unstable saddle node,False
0.05000000074505806,0.7858999967575073,0.9986000061035156,-16.675460815429688,10.500645637512207,stable spiral node sink,True
0.05999999865889549,0.048900000751018524,0.9983000159263611,-13.57716178894043,7.378222942352295,stable spiral node sink,True
0.05999999865889549,0.23180000483989716,0.9983000159263611,-12.880975723266602,-2.9856481552124023,unstable saddle node,False
0.05999999865889549,0.7860000133514404,0.9983999729156494,-14.108661651611328,8.824236869812012,stable spiral node sink,True
0.07000000029802322,0.04899999871850014,0.9980000257492065,-11.711912155151367,6.301887035369873,stable spiral node sink,True
0.07000000029802322,0.23160000145435333,0.9980999827384949,-11.050525665283203,-2.5676229000091553,unstable saddle node,False
0.07000000029802322,0.7860999703407288,0.9980999827384949,-12.233613014221191,7.599455833435059,stable spiral node sink,True
0.07999999821186066,0.04899999871850014,0.9977999925613403,-10.340785026550293,5.524596214294434,stable spiral node sink,True
0.07999999821186066,0.2313999980688095,0.9977999925613403,-9.646305084228516,-2.2471795082092285,unstable saddle node,False
0.07999999821186066,0.7860999703407288,0.9977999925613403,-10.829110145568848,6.677484035491943,stable spiral node sink,True
0.09000000357627869,0.04910000041127205,0.9975000023841858,-9.248367309570312,4.893049240112305,stable spiral node sink,True
0.09000000357627869,0.23119999468326569,0.9975000023841858,-8.55544376373291,-1.9982306957244873,unstable saddle node,False
0.09000000357627869,0.7861999869346619,0.9976000189781189,-9.759138107299805,5.979160785675049,stable spiral node sink,True
0.10000000149011612,0.04910000041127205,0.9972000122070312,-8.3762845993042,4.3992486000061035,stable spiral node sink,True
0.10000000149011612,0.23100000619888306,0.9972000122070312,-7.683567523956299,-1.7992428541183472,unstable saddle node,False
0.10000000149011612,0.786300003528595,0.9973000288009644,-8.883756637573242,5.407728672027588,stable spiral node sink,True
0.10999999940395355,0.04910000041127205,0.9969000220298767,-7.663256645202637,3.995548963546753,stable spiral node sink,True
0.10999999940395355,0.23070000112056732,0.996999979019165,-6.984774589538574,-1.6390167474746704,unstable saddle node,False
0.10999999940395355,0.7864000201225281,0.9970999956130981,-8.18252182006836,4.95004415512085,stable spiral node sink,True
0.11999999731779099,0.04919999837875366,0.9965999722480774,-7.0680341720581055,3.6502649784088135,stable spiral node sink,True
0.11999999731779099,0.2304999977350235,0.9966999888420105,-6.388986587524414,-1.5030748844146729,unstable saddle node,False
0.11999999731779099,0.7864999771118164,0.9968000054359436,-7.584842681884766,4.5598578453063965,stable spiral node sink,True
0.12999999523162842,0.04919999837875366,0.996399998664856,-6.576028823852539,3.3730337619781494,stable spiral node sink,True
0.12999999523162842,0.23029999434947968,0.996399998664856,-5.885244369506836,-1.3881257772445679,unstable saddle node,False
0.12999999523162842,0.7865999937057495,0.9965999722480774,-7.090023994445801,4.236882209777832,stable spiral node sink,True
0.14000000059604645,0.049300000071525574,0.9961000084877014,-6.14297342300415,3.1214821338653564,stable spiral node sink,True
0.14000000059604645,0.23010000586509705,0.9961000084877014,-5.453742027282715,-1.2896509170532227,unstable saddle node,False
0.14000000059604645,0.7867000102996826,0.9962999820709229,-6.656105995178223,3.9535787105560303,stable spiral node sink,True
0.15000000596046448,0.049300000071525574,0.9958000183105469,-5.768997669219971,2.9108526706695557,stable spiral node sink,True
0.15000000596046448,0.22990000247955322,0.9958999752998352,-5.087811470031738,-1.2059940099716187,unstable saddle node,False
0.15000000596046448,0.7868000268936157,0.9961000084877014,-6.288382530212402,3.7135424613952637,stable spiral node sink,True
0.1599999964237213,0.049300000071525574,0.9955000281333923,-5.441892623901367,2.7266476154327393,stable spiral node sink,True
0.1599999964237213,0.2296999990940094,0.9955999851226807,-4.760033130645752,-1.1311819553375244,unstable saddle node,False
0.1599999964237213,0.7868000268936157,0.9958999752998352,-5.965612411499023,3.500614643096924,stable spiral node sink,True
0.17000000178813934,0.049400001764297485,0.995199978351593,-5.152015686035156,2.557816505432129,stable spiral node sink,True
0.17000000178813934,0.22949999570846558,0.9952999949455261,-4.470974445343018,-1.065199375152588,unstable saddle node,False
