I,A,B,trace,determinant,string_of_classification,stable
0.0,0.0,0.0,1.1503527164459229,0.32798251509666443,unstable node source,False
0.0,0.0,0.9854999780654907,-4.2086687088012695,4.053160667419434,stable node sink,True
0.009999999776482582,0.00039999998989515007,0.9854999780654907,-4.185079097747803,4.01822566986084,stable node sink,True
0.019999999552965164,0.0007999999797903001,0.9854999780654907,-4.16175651550293,3.9836792945861816,stable node sink,True
0.029999999329447746,0.0012000000569969416,0.9854999780654907,-4.138696670532227,3.9495153427124023,stable node sink,True
0.03999999910593033,0.0015999999595806003,0.9854999780654907,-4.115896701812744,3.915729284286499,stable node sink,True
0.05000000074505806,0.0020000000949949026,0.9854999780654907,-4.093352317810059,3.882315158843994,stable node sink,True
0.05999999865889549,0.002400000113993883,0.9854999780654907,-4.071058750152588,3.849266529083252,stable node sink,True
0.07000000029802322,0.00279999990016222,0.9854999780654907,-4.049014568328857,3.816580295562744,stable node sink,True
0.07999999821186066,0.0031999999191612005,0.9854999780654907,-4.027215003967285,3.784250497817993,stable node sink,True
0.09000000357627869,0.003599999938160181,0.9854999780654907,-4.005656719207764,3.752272605895996,stable node sink,True
0.10000000149011612,0.004000000189989805,0.9854999780654907,-3.9843361377716064,3.720639944076538,stable node sink,True
0.10999999940395355,0.0044999998062849045,0.9854999780654907,-3.957899570465088,3.6814067363739014,stable node sink,True
0.11999999731779099,0.004900000058114529,0.9854999780654907,-3.9371023178100586,3.650536060333252,stable node sink,True
0.12999999523162842,0.0052999998442828655,0.9854999780654907,-3.916532039642334,3.6199965476989746,stable node sink,True
0.14000000059604645,0.00570000009611249,0.9854999780654907,-3.896186351776123,3.5897834300994873,stable node sink,True
0.15000000596046448,0.006200000178068876,0.9854999780654907,-3.870948314666748,3.552295446395874,stable node sink,True
0.1599999964237213,0.006599999964237213,0.9854999780654907,-3.851095199584961,3.5227999687194824,stable node sink,True
0.17000000178813934,0.0071000000461936,0.9854999780654907,-3.8264639377593994,3.4861958026885986,stable node sink,True
0.18000000715255737,0.007499999832361937,0.9854999780654907,-3.807089328765869,3.457397222518921,stable node sink,True
0.1899999976158142,0.00800000037997961,0.9854999780654907,-3.783045768737793,3.4216487407684326,stable node sink,True
0.20000000298023224,0.00839999970048666,0.9854999780654907,-3.764133930206299,3.393524408340454,stable node sink,True
0.20999999344348907,0.008899999782443047,0.9854999780654907,-3.7406606674194336,3.358607053756714,stable node sink,True
0.2199999988079071,0.009399999864399433,0.9854999780654907,-3.717496871948242,3.3241400718688965,stable node sink,True
0.23000000417232513,0.009800000116229057,0.9854999780654907,-3.6992788314819336,3.2970263957977295,stable node sink,True
0.23999999463558197,0.010300000198185444,0.9854999780654907,-3.6766586303710938,3.263352155685425,stable node sink,True
0.25,0.01080000028014183,0.9854999780654907,-3.65433406829834,3.2301077842712402,stable node sink,True
0.25999999046325684,0.011300000362098217,0.9854999780654907,-3.6322996616363525,3.197287082672119,stable node sink,True
0.27000001072883606,0.011800000444054604,0.9854999780654907,-3.6105501651763916,3.1648812294006348,stable node sink,True
0.2800000011920929,0.012299999594688416,0.9854999780654907,-3.5890822410583496,3.132885694503784,stable node sink,True
0.28999999165534973,0.012799999676644802,0.9854999780654907,-3.56788969039917,3.1012918949127197,stable node sink,True
0.30000001192092896,0.013299999758601189,0.9854999780654907,-3.546969175338745,3.070094347000122,stable node sink,True
0.3100000023841858,0.013799999840557575,0.9854999780654907,-3.5263161659240723,3.0392868518829346,stable node sink,True
0.3100000023841858,0.013799999840557575,0.9855999946594238,-3.527451992034912,3.0414459705352783,stable node sink,True
0.3199999928474426,0.014299999922513962,0.9855999946594238,-3.507059097290039,3.010999917984009,stable node sink,True
0.33000001311302185,0.014800000004470348,0.9855999946594238,-3.4869256019592285,2.9809322357177734,stable node sink,True
0.3400000035762787,0.015399999916553497,0.9855999946594238,-3.4630072116851807,2.9451992511749268,stable node sink,True
0.3499999940395355,0.01590000092983246,0.9855999946594238,-3.443427562713623,2.9159398078918457,stable node sink,True
0.36000001430511475,0.01640000008046627,0.9855999946594238,-3.4240949153900146,2.887040376663208,stable node sink,True
0.3700000047683716,0.017000000923871994,0.9855999946594238,-3.4011197090148926,2.8526837825775146,stable node sink,True
0.3799999952316284,0.017500000074505806,0.9855999946594238,-3.3823134899139404,2.824552536010742,stable node sink,True
0.38999998569488525,0.01810000091791153,0.9855999946594238,-3.3599607944488525,2.791104793548584,stable node sink,True
0.4000000059604645,0.01860000006854534,0.9855999946594238,-3.341663360595703,2.763716459274292,stable node sink,True
0.4099999964237213,0.019200000911951065,0.9855999946594238,-3.3199105262756348,2.7311439514160156,stable node sink,True
0.41999998688697815,0.01979999989271164,0.9855999946594238,-3.298476219177246,2.6990368366241455,stable node sink,True
0.4300000071525574,0.020400000736117363,0.9855999946594238,-3.277355194091797,2.667387008666992,stable node sink,True
0.4399999976158142,0.020999999716877937,0.9855999946594238,-3.2565419673919678,2.636186122894287,stable node sink,True
0.44999998807907104,0.0215000007301569,0.9855999946594238,-3.2395057678222656,2.6106393337249756,stable node sink,True
0.46000000834465027,0.022199999541044235,0.9855999946594238,-3.215813398361206,2.575096368789673,stable node sink,True
0.4699999988079071,0.02280000038444996,0.9855999946594238,-3.195888042449951,2.545192003250122,stable node sink,True
0.47999998927116394,0.023399999365210533,0.9855999946594238,-3.176248550415039,2.5157060623168945,stable node sink,True
0.49000000953674316,0.024000000208616257,0.9855999946594238,-3.156888961791992,2.486628293991089,stable node sink,True
0.5,0.02459999918937683,0.9855999946594238,-3.1378049850463867,2.4579529762268066,stable node sink,True
