k_ma,A,B,trace,determinant,string_of_classification,stable
0.0,0.21289999783039093,0.9865000247955322,-1.1109384298324585,-0.8037021160125732,unstable saddle node,False
0.009999999776482582,0.218299999833107,0.9865000247955322,-1.1172223091125488,-0.7994623780250549,unstable saddle node,False
0.009999999776482582,0.03009999915957451,0.9855999946594238,-2.683202028274536,1.7727055549621582,stable node sink,True
0.019999999552965164,0.22370000183582306,0.9865000247955322,-1.1240602731704712,-0.7943081259727478,unstable saddle node,False
0.019999999552965164,0.029899999499320984,0.9855999946594238,-2.6991333961486816,1.7967647314071655,stable node sink,True
0.019999999552965164,0.22380000352859497,0.9865000247955322,-1.1239078044891357,-0.794663667678833,unstable saddle node,False
0.019999999552965164,0.9861999750137329,0.9891999959945679,-18.833589553833008,34.2623176574707,stable node sink,True
0.029999999329447746,0.22930000722408295,0.9865999817848206,-1.1320817470550537,-0.7893650531768799,unstable saddle node,False
0.029999999329447746,0.029600000008940697,0.9855999946594238,-2.7177956104278564,1.8249531984329224,stable node sink,True
0.029999999329447746,0.9790999889373779,0.9891999959945679,-12.997572898864746,22.32312774658203,stable node sink,True
0.03999999910593033,0.23489999771118164,0.9865999817848206,-1.1396896839141846,-0.7831318378448486,unstable saddle node,False
0.03999999910593033,0.029400000348687172,0.9855999946594238,-2.733363151550293,1.8484563827514648,stable node sink,True
0.03999999910593033,0.972000002861023,0.9891999959945679,-10.111026763916016,16.422565460205078,stable node sink,True
0.05000000074505806,0.24060000479221344,0.9865999817848206,-1.1476811170578003,-0.7763574719429016,unstable saddle node,False
0.05000000074505806,0.029200000688433647,0.9855999946594238,-2.7487545013427734,1.871690034866333,stable node sink,True
0.05000000074505806,0.9648000001907349,0.9891999959945679,-8.371040344238281,12.869511604309082,stable node sink,True
0.05999999865889549,0.24639999866485596,0.9865999817848206,-1.1560590267181396,-0.7690325379371643,unstable saddle node,False
0.05999999865889549,0.028999999165534973,0.9855999946594238,-2.7639756202697754,1.8946645259857178,stable node sink,True
0.05999999865889549,0.9574999809265137,0.9890999794006348,-7.205568313598633,10.489532470703125,stable node sink,True
0.07000000029802322,0.2522999942302704,0.9866999983787537,-1.165772795677185,-0.7615401744842529,unstable saddle node,False
0.07000000029802322,0.02879999950528145,0.9855999946594238,-2.7790327072143555,1.917387843132019,stable node sink,True
0.07000000029802322,0.9501000046730042,0.9890999794006348,-6.370896339416504,8.791123390197754,stable node sink,True
0.07999999821186066,0.2583000063896179,0.9866999983787537,-1.1749306917190552,-0.7530884146690369,unstable saddle node,False
0.07999999821186066,0.028599999845027924,0.9855999946594238,-2.7939305305480957,1.939868688583374,stable node sink,True
0.07999999821186066,0.9426000118255615,0.9890999794006348,-5.742682456970215,7.515334606170654,stable node sink,True
0.09000000357627869,0.26440000534057617,0.9866999983787537,-1.1844818592071533,-0.7440631985664368,unstable saddle node,False
0.09000000357627869,0.0284000001847744,0.9855999946594238,-2.8086767196655273,1.962117075920105,stable node sink,True
0.09000000357627869,0.9348999857902527,0.9890999794006348,-5.247042655944824,6.511096477508545,stable node sink,True
0.10000000149011612,0.27059999108314514,0.9866999983787537,-1.194427490234375,-0.734458327293396,unstable saddle node,False
0.10000000149011612,0.028200000524520874,0.9855999946594238,-2.823275566101074,1.9841406345367432,stable node sink,True
0.10000000149011612,0.27059999108314514,0.9868000149726868,-1.1953747272491455,-0.7348380088806152,unstable saddle node,False
0.10000000149011612,0.9272000193595886,0.9890999794006348,-4.854208946228027,5.717271327972412,stable node sink,True
0.10999999940395355,0.2770000100135803,0.9868000149726868,-1.2056756019592285,-0.7248174548149109,unstable saddle node,False
0.10999999940395355,0.02800000086426735,0.9855999946594238,-2.8377327919006348,2.0059478282928467,stable node sink,True
0.10999999940395355,0.9193000197410583,0.9890000224113464,-4.526832580566406,5.0571818351745605,stable node sink,True
0.11999999731779099,0.28349998593330383,0.9868000149726868,-1.2163946628570557,-0.7141690850257874,unstable saddle node,False
0.11999999731779099,0.027899999171495438,0.9855999946594238,-2.8490257263183594,2.0229761600494385,stable node sink,True
0.11999999731779099,0.911300003528595,0.9890000224113464,-4.254199504852295,4.510037422180176,stable node sink,True
0.12999999523162842,0.027699999511241913,0.9855999946594238,-2.8632023334503174,2.0443551540374756,stable node sink,True
0.12999999523162842,0.29019999504089355,0.9868000149726868,-1.2275116443634033,-0.7030288577079773,unstable saddle node,False
0.12999999523162842,0.9031000137329102,0.9890000224113464,-4.020252227783203,4.042298316955566,stable spiral node sink,True
0.14000000059604645,0.027499999850988388,0.9855999946594238,-2.877251148223877,2.0655388832092285,stable node sink,True
0.14000000059604645,0.2971000075340271,0.9868999719619751,-1.240004301071167,-0.6917027235031128,unstable saddle node,False
0.14000000059604645,0.8948000073432922,0.9890000224113464,-3.819334030151367,3.642273187637329,stable node sink,True
0.15000000596046448,0.027400000020861626,0.9855999946594238,-2.888120174407959,2.081923007965088,stable node sink,True
0.15000000596046448,0.30410000681877136,0.9868999719619751,-1.2520052194595337,-0.6793035268783569,unstable saddle node,False
0.15000000596046448,0.8863000273704529,0.9889000058174133,-3.641784191131592,3.2907538414001465,stable node sink,True
0.1599999964237213,0.0272000003606081,0.9855999946594238,-2.9019157886505127,2.1027207374572754,stable node sink,True
0.1599999964237213,0.31130000948905945,0.9868999719619751,-1.2644697427749634,-0.6662859916687012,unstable saddle node,False
0.1599999964237213,0.8776000142097473,0.9889000058174133,-3.4853739738464355,2.9825007915496826,stable node sink,True
0.17000000178813934,0.02710000053048134,0.9855999946594238,-2.9125208854675293,2.118704319000244,stable node sink,True
0.17000000178813934,0.31869998574256897,0.9869999885559082,-1.2783749103546143,-0.6529414057731628,unstable saddle node,False
0.17000000178813934,0.8687000274658203,0.9889000058174133,-3.345702886581421,2.708761215209961,stable node sink,True
0.18000000715255737,0.027000000700354576,0.9855999946594238,-2.92299747467041,2.134493112564087,stable node sink,True
0.18000000715255737,0.3264000117778778,0.9869999885559082,-1.2918723821640015,-0.6385905146598816,unstable saddle node,False
0.18000000715255737,0.8596000075340271,0.9889000058174133,-3.220118999481201,2.4641170501708984,stable node sink,True
0.1899999976158142,0.026799999177455902,0.9855999946594238,-2.9364359378814697,2.1547458171844482,stable node sink,True
0.1899999976158142,0.3343000113964081,0.9869999885559082,-1.3059266805648804,-0.6234418153762817,unstable saddle node,False
0.1899999976158142,0.8501999974250793,0.9887999892234802,-3.10427188873291,2.2407655715942383,stable node sink,True
0.20000000298023224,0.02669999934732914,0.9855999946594238,-2.946671485900879,2.170168876647949,stable node sink,True
0.20000000298023224,0.3425000011920929,0.9871000051498413,-1.321559190750122,-0.6077977418899536,unstable saddle node,False
0.20000000298023224,0.8406000137329102,0.9887999892234802,-2.999953269958496,2.0404317378997803,stable node sink,True
0.20999999344348907,0.026599999517202377,0.9855999946594238,-2.9567883014678955,2.1854116916656494,stable node sink,True
0.20999999344348907,0.35100001096725464,0.9871000051498413,-1.3369131088256836,-0.5909174680709839,unstable saddle node,False
0.20999999344348907,0.8306000232696533,0.9887999892234802,-2.9027223587036133,1.8551585674285889,stable node sink,True
0.2199999988079071,0.026399999856948853,0.9855999946594238,-2.9699039459228516,2.205172061920166,stable spiral node sink,True
0.2199999988079071,0.3598000109195709,0.9871000051498413,-1.352988600730896,-0.5730363726615906,unstable saddle node,False
0.2199999988079071,0.8202999830245972,0.9886999726295471,-2.811769485473633,1.6843878030776978,stable node sink,True
0.23000000417232513,0.02630000002682209,0.9855999946594238,-2.9798007011413574,2.220080614089966,stable spiral node sink,True
0.23000000417232513,0.36910000443458557,0.9872000217437744,-1.3709313869476318,-0.5543221235275269,unstable saddle node,False
0.23000000417232513,0.8095999956130981,0.9886999726295471,-2.7275280952453613,1.5267658233642578,stable node sink,True
0.23999999463558197,0.026200000196695328,0.9855999946594238,-2.989589214324951,2.2348246574401855,stable spiral node sink,True
0.23999999463558197,0.37880000472068787,0.9872000217437744,-1.3888483047485352,-0.5340241193771362,unstable saddle node,False
0.23999999463558197,0.7985000014305115,0.9886999726295471,-2.6484625339508057,1.3803044557571411,stable node sink,True
