k_mb,A,B,trace,determinant,string_of_classification,stable
0.009999999776482582,0.02410000003874302,0.9997000098228455,-79.4524917602539,130.73028564453125,stable spiral node sink,True
0.019999999552965164,0.02410000003874302,0.9994000196456909,-40.5601806640625,65.32875061035156,stable spiral node sink,True
0.029999999329447746,0.02410000003874302,0.9991999864578247,-27.769453048706055,43.82577896118164,stable spiral node sink,True
0.03999999910593033,0.02410000003874302,0.9988999962806702,-21.211694717407227,32.79777526855469,stable spiral node sink,True
0.05000000074505806,0.02410000003874302,0.9986000061035156,-17.286937713623047,26.198097229003906,stable spiral node sink,True
0.05999999865889549,0.02410000003874302,0.9983000159263611,-14.674433708190918,21.805419921875,stable spiral node sink,True
0.07000000029802322,0.02410000003874302,0.9980000257492065,-12.810214042663574,18.671253204345703,stable spiral node sink,True
0.07999999821186066,0.02410000003874302,0.9977999925613403,-11.438870429992676,16.36772346496582,stable spiral node sink,True
0.09000000357627869,0.02410000003874302,0.9975000023841858,-10.347479820251465,14.533100128173828,stable spiral node sink,True
0.10000000149011612,0.02419999986886978,0.9972000122070312,-9.47176456451416,13.040694236755371,stable spiral node sink,True
0.10999999940395355,0.02419999986886978,0.9969000220298767,-8.758413314819336,11.8443603515625,stable spiral node sink,True
0.11999999731779099,0.02419999986886978,0.9965999722480774,-8.164214134216309,10.848044395446777,stable spiral node sink,True
0.12999999523162842,0.02419999986886978,0.9962999820709229,-7.6616034507751465,10.005481719970703,stable spiral node sink,True
0.14000000059604645,0.02419999986886978,0.9961000084877014,-7.239956855773926,9.299626350402832,stable spiral node sink,True
0.15000000596046448,0.02419999986886978,0.9958000183105469,-6.865656852722168,8.67237663269043,stable spiral node sink,True
0.1599999964237213,0.02419999986886978,0.9955000281333923,-6.538227558135986,8.123815536499023,stable spiral node sink,True
0.17000000178813934,0.02419999986886978,0.995199978351593,-6.249365329742432,7.6400065422058105,stable spiral node sink,True
0.18000000715255737,0.02419999986886978,0.9948999881744385,-5.9926276206970215,7.210132598876953,stable spiral node sink,True
0.18000000715255737,0.024299999698996544,0.9948999881744385,-5.9893341064453125,7.195743083953857,stable spiral node sink,True
0.1899999976158142,0.024299999698996544,0.994700014591217,-5.764870643615723,6.821288585662842,stable spiral node sink,True
0.20000000298023224,0.024299999698996544,0.9944000244140625,-5.5576863288879395,6.475259304046631,stable spiral node sink,True
0.20999999344348907,0.024299999698996544,0.9940999746322632,-5.370237350463867,6.162298679351807,stable spiral node sink,True
0.2199999988079071,0.024299999698996544,0.9937999844551086,-5.1998291015625,5.877896785736084,stable spiral node sink,True
0.23000000417232513,0.024299999698996544,0.9934999942779541,-5.0442280769348145,5.6183085441589355,stable spiral node sink,True
0.23999999463558197,0.024299999698996544,0.9933000206947327,-4.905078887939453,5.386587142944336,stable spiral node sink,True
0.25,0.024299999698996544,0.9929999709129333,-4.773585796356201,5.167369365692139,stable spiral node sink,True
0.25999999046325684,0.024299999698996544,0.9926999807357788,-4.652193546295166,4.9650797843933105,stable spiral node sink,True
0.27000001072883606,0.024399999529123306,0.9923999905586243,-4.536496639251709,4.768318176269531,stable spiral node sink,True
0.2800000011920929,0.024399999529123306,0.9922000169754028,-4.434798240661621,4.599572658538818,stable spiral node sink,True
0.28999999165534973,0.024399999529123306,0.9919000267982483,-4.337413787841797,4.4378228187561035,stable spiral node sink,True
0.30000001192092896,0.024399999529123306,0.991599977016449,-4.246499538421631,4.286895275115967,stable spiral node sink,True
0.3100000023841858,0.024399999529123306,0.9912999868392944,-4.161429405212402,4.1457438468933105,stable spiral node sink,True
0.3199999928474426,0.024399999529123306,0.9909999966621399,-4.08165168762207,4.01344633102417,stable spiral node sink,True
0.33000001311302185,0.024399999529123306,0.9908000230789185,-4.008769989013672,3.8927948474884033,stable spiral node sink,True
0.3400000035762787,0.024399999529123306,0.9904999732971191,-3.9380903244018555,3.7757012844085693,stable spiral node sink,True
0.3499999940395355,0.024399999529123306,0.9901999831199646,-3.871427059173584,3.665328025817871,stable spiral node sink,True
0.36000001430511475,0.02449999935925007,0.9898999929428101,-3.805180549621582,3.5540380477905273,stable spiral node sink,True
0.3700000047683716,0.02449999935925007,0.9896000027656555,-3.7455766201019287,3.4556705951690674,stable spiral node sink,True
0.3799999952316284,0.02449999935925007,0.9894000291824341,-3.6907668113708496,3.365352153778076,stable spiral node sink,True
0.38999998569488525,0.02449999935925007,0.9890999794006348,-3.6370816230773926,3.276855945587158,stable spiral node sink,True
0.4000000059604645,0.02449999935925007,0.9887999892234802,-3.586056709289551,3.1928019523620605,stable spiral node sink,True
0.4099999964237213,0.02449999935925007,0.9884999990463257,-3.537497043609619,3.1128652095794678,stable spiral node sink,True
0.41999998688697815,0.02449999935925007,0.9883000254631042,-3.492678642272949,3.0391783714294434,stable spiral node sink,True
0.4300000071525574,0.02449999935925007,0.9879999756813049,-3.4484846591949463,2.966522216796875,stable spiral node sink,True
0.4399999976158142,0.02449999935925007,0.9876999855041504,-3.4062771797180176,2.897184133529663,stable spiral node sink,True
0.44999998807907104,0.02459999918937683,0.9873999953269958,-3.3626761436462402,2.8253328800201416,stable spiral node sink,True
0.46000000834465027,0.02459999918937683,0.9871000051498413,-3.3240532875061035,2.7621066570281982,stable spiral node sink,True
0.4699999988079071,0.02459999918937683,0.9868999719619751,-3.2882909774780273,2.703608989715576,stable node sink,True
0.47999998927116394,0.02459999918937683,0.9865999817848206,-3.2527718544006348,2.645548105239868,stable node sink,True
0.49000000953674316,0.02459999918937683,0.986299991607666,-3.218679189682007,2.5898656845092773,stable spiral node sink,True
0.5,0.02459999918937683,0.9860000014305115,-3.1859283447265625,2.53641939163208,stable spiral node sink,True
0.5099999904632568,0.02459999918937683,0.98580002784729,-3.1555519104003906,2.486865282058716,stable spiral node sink,True
0.5199999809265137,0.02459999918937683,0.9854999780654907,-3.125223159790039,2.437450885772705,stable spiral node sink,True
0.5299999713897705,0.024700000882148743,0.9851999878883362,-3.0927863121032715,2.3851864337921143,stable spiral node sink,True
0.5400000214576721,0.024700000882148743,0.9848999977111816,-3.0646424293518066,2.3395040035247803,stable spiral node sink,True
0.550000011920929,0.024700000882148743,0.9847000241279602,-3.0385093688964844,2.2970786094665527,stable spiral node sink,True
0.5600000023841858,0.024700000882148743,0.9843999743461609,-3.0122926235198975,2.2545974254608154,stable spiral node sink,True
0.5699999928474426,0.024700000882148743,0.9840999841690063,-2.986975908279419,2.213613986968994,stable spiral node sink,True
0.5799999833106995,0.024700000882148743,0.9837999939918518,-2.9625117778778076,2.1740493774414062,stable spiral node sink,True
0.5899999737739563,0.024700000882148743,0.9836000204086304,-2.9397811889648438,2.1372594833374023,stable spiral node sink,True
0.6000000238418579,0.024700000882148743,0.983299970626831,-2.916874885559082,2.100282669067383,stable spiral node sink,True
0.6100000143051147,0.024700000882148743,0.9829999804496765,-2.894700765609741,2.0645244121551514,stable spiral node sink,True
0.6200000047683716,0.024800000712275505,0.982699990272522,-2.870007038116455,2.025923490524292,stable spiral node sink,True
0.6299999952316284,0.024800000712275505,0.9824000000953674,-2.8491923809051514,1.9924931526184082,stable spiral node sink,True
0.6399999856948853,0.024800000712275505,0.982200026512146,-2.8298473358154297,1.9613728523254395,stable spiral node sink,True
0.6499999761581421,0.024800000712275505,0.9818999767303467,-2.810251235961914,1.9299622774124146,stable spiral node sink,True
0.6600000262260437,0.024800000712275505,0.9815999865531921,-2.7912304401397705,1.8995074033737183,stable spiral node sink,True
0.6700000166893005,0.024800000712275505,0.9812999963760376,-2.772759437561035,1.8699657917022705,stable spiral node sink,True
0.6800000071525574,0.024800000712275505,0.9811000227928162,-2.7555952072143555,1.8424489498138428,stable spiral node sink,True
0.6899999976158142,0.024800000712275505,0.9807999730110168,-2.738138198852539,1.8145884275436401,stable spiral node sink,True
0.699999988079071,0.024800000712275505,0.9804999828338623,-2.721162796020508,1.7875279188156128,stable spiral node sink,True
0.7099999785423279,0.024900000542402267,0.9801999926567078,-2.7014472484588623,1.757768988609314,stable spiral node sink,True
0.7200000286102295,0.024900000542402267,0.9800000190734863,-2.686108112335205,1.7333154678344727,stable spiral node sink,True
0.7300000190734863,0.024900000542402267,0.9797000288963318,-2.6704483032226562,1.70848548412323,stable spiral node sink,True
0.7400000095367432,0.024900000542402267,0.9793999791145325,-2.6551942825317383,1.684328556060791,stable spiral node sink,True
0.75,0.024900000542402267,0.9790999889373779,-2.6403307914733887,1.6608192920684814,stable spiral node sink,True
0.7599999904632568,0.024900000542402267,0.9789000153541565,-2.6265339851379395,1.6389076709747314,stable spiral node sink,True
0.7699999809265137,0.024900000542402267,0.978600025177002,-2.612395763397217,1.6165980100631714,stable spiral node sink,True
0.7799999713897705,0.024900000542402267,0.9782999753952026,-2.5986032485961914,1.5948617458343506,stable spiral node sink,True
0.7900000214576721,0.02500000037252903,0.9781000018119812,-2.582622766494751,1.571513056755066,stable spiral node sink,True
0.800000011920929,0.02500000037252903,0.9778000116348267,-2.5694773197174072,1.550886869430542,stable spiral node sink,True
0.8100000023841858,0.02500000037252903,0.9775000214576721,-2.556640386581421,1.5307717323303223,stable spiral node sink,True
0.8199999928474426,0.02500000037252903,0.9771999716758728,-2.544100522994995,1.511148452758789,stable spiral node sink,True
0.8299999833106995,0.02500000037252903,0.9769999980926514,-2.5324809551239014,1.4928598403930664,stable spiral node sink,True
0.8399999737739563,0.02500000037252903,0.9767000079154968,-2.5204975605010986,1.4741551876068115,stable spiral node sink,True
0.8500000238418579,0.02500000037252903,0.9764000177383423,-2.5087809562683105,1.455892562866211,stable spiral node sink,True
0.8600000143051147,0.02500000037252903,0.9761000275611877,-2.4973223209381104,1.438056468963623,stable spiral node sink,True
0.8700000047683716,0.02500000037252903,0.9758999943733215,-2.4867167472839355,1.421434998512268,stable spiral node sink,True
0.8799999952316284,0.025100000202655792,0.975600004196167,-2.472568988800049,1.401646614074707,stable spiral node sink,True
0.8899999856948853,0.025100000202655792,0.9753000140190125,-2.4618260860443115,1.3850250244140625,stable spiral node sink,True
0.8999999761581421,0.025100000202655792,0.9750000238418579,-2.4513070583343506,1.3687738180160522,stable spiral node sink,True
0.9100000262260437,0.025100000202655792,0.9747999906539917,-2.441584348678589,1.3536332845687866,stable spiral node sink,True
0.9200000166893005,0.025100000202655792,0.9745000004768372,-2.4314870834350586,1.3380767107009888,stable spiral node sink,True
0.9300000071525574,0.025100000202655792,0.9742000102996826,-2.4215927124023438,1.3228559494018555,stable spiral node sink,True
0.9399999976158142,0.025100000202655792,0.9739999771118164,-2.4124574661254883,1.308678388595581,stable spiral node sink,True
0.949999988079071,0.025100000202655792,0.9736999869346619,-2.4029457569122314,1.2940876483917236,stable spiral node sink,True
0.9599999785423279,0.025200000032782555,0.9733999967575073,-2.390460968017578,1.2773017883300781,stable spiral node sink,True
0.9700000286102295,0.025200000032782555,0.9731000065803528,-2.3813133239746094,1.2633395195007324,stable spiral node sink,True
0.9800000190734863,0.025200000032782555,0.9728999733924866,-2.372880697250366,1.2503396272659302,stable spiral node sink,True
0.9900000095367432,0.025200000032782555,0.972599983215332,-2.364070415496826,1.2369319200515747,stable spiral node sink,True
